model_id,accuracy,macro_f1,weighted_f1,log_loss
bert-base-multilingual-cased_metrics,0.8952380952380953,0.9049359662893497,0.8950109968799551,0.4482977067125523
bert-base-multilingual-uncased_metrics,0.8476190476190476,0.8807407407407408,0.8469841269841271,0.6057956259909114
bert_metrics,0.8476190476190476,0.8778075582953632,0.8477781606701467,0.651875746774052
distilbert-base-multilingual-cased_metrics,0.8476190476190476,0.8306005398110662,0.8486899483140085,0.6044515417595685
distilbert_metrics,0.9047619047619048,0.9170725034199727,0.904592534688294,0.6808511107677473
roberta_metrics,0.7047619047619048,0.7232905982905982,0.6965608465608465,0.9025679233575077
