class,XLM-roberta,bert-base-multilingual-cased,bert-base-multilingual-uncased,bert,distilbert-base-multilingual-cased,distilbert
greeting,0.6666666666666666,1.0,1.0,1.0,0.7692307692307693,1.0
inquiry,0.625,0.9,0.8148148148148148,0.8205128205128205,0.875,0.9069767441860465
info,0.7692307692307693,0.8846153846153846,0.8888888888888888,0.8333333333333334,0.8571428571428571,0.9411764705882353
transaction_confirm,0.6666666666666666,0.8979591836734694,0.8,0.8780487804878049,0.8095238095238095,0.8372093023255814
unknown,0.8888888888888888,0.8421052631578947,0.9,0.8571428571428571,0.8421052631578947,0.9
